PartitionKey,RowKey,Timestamp,ImageResult,ImageResult@type,Status,Status@type,StatusDescription,StatusDescription@type,ImageConversionMode,ImageConversionMode@type,ImageSource,ImageSource@type
imageconversions,3f352ec6-eb2d-42e3-8d56-2a14025e5076,2021-03-29T22:55:23.306Z,,,2,Edm.String,Converting to GreyScale,Edm.String,GreyScale,Edm.String,/converttogreyscale/turkey.jpg,Edm.String
imageconversions,43126de9-ce21-4518-8736-caed0b6e2702,2021-03-30T13:45:59.472Z,,,2,Edm.String,Converting to GreyScale,Edm.String,GreyScale,Edm.String,/converttogreyscale/turkey.jpg,Edm.String
imageconversions,441b7d3c-77e9-41c6-a5a9-fe1daca8ab01,2021-03-30T13:35:47.378Z,,,2,Edm.String,Converting to Sepia,Edm.String,Sepia,Edm.String,/converttosepia/seagul.jpg,Edm.String
imageconversions,4baba003-94d0-423b-8d57-0f7ac7e9e8d5,2021-03-30T14:37:32.276Z,,,2,Edm.Int32,Converting to Sepia,Edm.String,Sepia,Edm.String,https://cscie94assignment3.blob.core.windows.net/converttosepia/Dogs.JPG,Edm.String
imageconversions,4d21f656-ced4-47ed-b163-24c5b71bb622,2021-03-29T22:55:23.304Z,,,2,Edm.String,Converting to Sepia,Edm.String,Sepia,Edm.String,/converttosepia/turkey.jpg,Edm.String
imageconversions,4e0d5fb5-826b-48dd-9849-e825514401a4,2021-03-30T14:37:02.091Z,,,2,Edm.Int32,Converting to Sepia,Edm.String,Sepia,Edm.String,https://cscie94assignment3.blob.core.windows.net/converttosepia/usconstitution.pdf,Edm.String
imageconversions,4f864935-a5a9-4976-89c5-fb792a02c6a4,2021-03-30T14:37:42.336Z,https://cscie94assignment3.blob.core.windows.net/convertedimages/60f8f017-6615-48fa-b38f-d8674ad41d6c-Dogs.JPG,Edm.String,3,Edm.Int32,Image successfully converted,Edm.String,,,,
imageconversions,5b1bc8f8-d04a-42e9-88bf-54d1fb57399a,2021-03-30T13:46:09.514Z,https://cscie94assignment3.blob.core.windows.net/convertedimages/f1535984-f3af-4a2b-a029-6d6ff807aad9-turkey.jpg,Edm.String,3,Edm.String,Image successfully converted,Edm.String,,,,
imageconversions,5e64e472-c37a-4b89-b176-018f74cb81a9,2021-03-30T13:40:28.178Z,,,2,Edm.String,Converting to Sepia,Edm.String,Sepia,Edm.String,/converttosepia/Dogs.JPG,Edm.String
imageconversions,5f8f6b47-6024-43d4-bcb6-468cce499784,2021-03-30T14:30:10.901Z,,,2,Edm.Int32,Converting to GreyScale,Edm.String,GreyScale,Edm.String,https://cscie94assignment3.blob.core.windows.net/converttogreyscale/Dogs.JPG,Edm.String
imageconversions,636fe12b-4034-4df7-9190-fc2dbc49b176,2021-03-30T14:37:32.263Z,https://cscie94assignment3.blob.core.windows.net/convertedimages/62be7843-3910-44a8-b5f6-0e7cf0632cd2-seagul.jpg,Edm.String,3,Edm.Int32,Image successfully converted,Edm.String,,,,
imageconversions,6c1fa08d-1a5a-4322-8e86-22b66122671e,2021-03-29T22:55:33.712Z,https://cscie94assignment3.blob.core.windows.net/convertedimages/15be67a5-42ae-446f-9cb0-35fc596bbd83-turkey.jpg,Edm.String,3,Edm.String,Image successfully converted,Edm.String,,,,
imageconversions,6c5adc0a-b5cb-434e-a4d3-df75b6ee39a2,2021-03-30T13:35:57.114Z,https://cscie94assignment3.blob.core.windows.net/convertedimages/9437baaa-847b-4eef-9db4-19a815a00edf-seagul.jpg,Edm.String,3,Edm.String,Image successfully converted,Edm.String,,,,
imageconversions,72ae3e82-b1c3-4f26-bb40-308d98273e1b,2021-03-30T04:14:10.861Z,,,2,Edm.String,Converting to Sepia,Edm.String,Sepia,Edm.String,/converttosepia/usconstitution.pdf,Edm.String
imageconversions,776ff4e2-2161-426d-8218-ed509208f7ba,2021-03-30T04:18:13.240Z,,,2,Edm.String,Converting to Sepia,Edm.String,Sepia,Edm.String,/converttosepia/turkey.jpg,Edm.String
imageconversions,7b7e4729-e6be-485e-8b83-5ff71d3a294b,2021-03-30T14:31:41.017Z,,,2,Edm.Int32,Converting to GreyScale,Edm.String,GreyScale,Edm.String,https://cscie94assignment3.blob.core.windows.net/converttogreyscale/turkey.jpg,Edm.String
